"Date","Price","Open","High","Low","Change %"
"Sep 14","1,208.74","1,287.05","1,290.32","1,204.65","-6.09%"
"Aug 14","1,287.07","1,282.00","1,322.93","1,273.41","0.39%"
"Jul 14","1,282.09","1,327.15","1,345.25","1,281.06","-3.40%"
"Jun 14","1,327.19","1,250.90","1,329.50","1,240.95","6.12%"
"May 14","1,250.69","1,291.65","1,315.82","1,242.24","-3.14%"
"Apr 14","1,291.29","1,284.25","1,331.34","1,268.52","0.60%"
"Mar 14","1,283.64","1,326.50","1,392.15","1,282.54","-3.18%"
"Feb 14","1,325.79","1,245.20","1,345.66","1,240.62","6.64%"
"Jan 14","1,243.19","1,207.76","1,278.40","1,199.29","3.17%"
"Dec 13","1,204.94","1,251.65","1,267.76","1,184.75","-3.76%"
"Nov 13","1,251.99","1,323.70","1,327.70","1,227.86","-5.38%"
"Oct 13","1,323.19","1,327.75","1,361.97","1,252.05","-0.28%"
"Sep 13","1,326.94","1,396.56","1,416.56","1,291.83","-4.93%"
"Aug 13","1,395.69","1,323.20","1,434.01","1,273.25","5.54%"
"Jul 13","1,322.49","1,234.10","1,348.30","1,207.88","7.25%"
"Jun 13","1,233.14","1,389.45","1,423.55","1,181.09","-11.05%"
"May 13","1,386.40","1,476.55","1,488.23","1,339.58","-6.11%"
"Apr 13","1,476.60","1,597.85","1,604.03","1,321.89","-7.49%"
"Mar 13","1,596.17","1,580.30","1,616.76","1,561.18","1.04%"
"Feb 13","1,579.76","1,663.80","1,684.88","1,555.10","-5.00%"
"Jan 13","1,662.99","1,675.05","1,696.38","1,626.40","-0.68%"
"Dec 12","1,674.34","1,714.00","1,723.48","1,635.61","-2.34%"
"Nov 12","1,714.40","1,720.55","1,754.68","1,672.74","-0.33%"
"Oct 12","1,720.05","1,771.20","1,796.18","1,698.90","-2.86%"
"Sep 12","1,770.69","1,692.20","1,787.58","1,685.54","4.74%"
"Aug 12","1,690.54","1,609.72","1,693.21","1,584.97","4.79%"
"Jul 12","1,613.29","1,599.30","1,629.63","1,554.90","0.94%"
"Jun 12","1,598.20","1,560.24","1,640.88","1,545.34","2.53%"
"May 12","1,558.70","1,666.75","1,671.57","1,527.38","-6.32%"
"Apr 12","1,663.88","1,668.53","1,681.16","1,612.28","-0.26%"
"Mar 12","1,668.29","1,696.20","1,725.97","1,628.17","-1.56%"
"Feb 12","1,694.70","1,738.39","1,790.70","1,688.67","-2.55%"
"Jan 12","1,739.03","1,566.15","1,747.80","1,565.13","11.21%"
"Dec 11","1,563.80","1,746.49","1,762.35","1,522.49","-10.39%"
"Nov 11","1,745.10","1,714.65","1,803.20","1,666.51","1.86%"
"Oct 11","1,713.25","1,619.49","1,752.70","1,595.69","5.54%"
"Sep 11","1,623.25","1,823.09","1,920.85","1,535.60","-10.97%"
"Aug 11","1,823.30","1,626.64","1,912.15","1,608.72","12.12%"
"Jul 11","1,626.14","1,501.34","1,632.68","1,478.40","8.44%"
"Jun 11","1,499.60","1,535.15","1,558.88","1,490.70","-2.20%"
